iter	Passed	Remaining
1250	24780	74262
1251	24796	74229
1252	24812	74200
1253	24829	74170
1254	24846	74142
1255	24862	74113
1256	24883	74095
1257	24901	74070
1258	24917	74038
1259	24934	74012
1260	24951	73985
1261	24969	73959
1262	24988	73937
1263	25003	73901
1264	25023	73882
1265	25043	73864
1266	25060	73836
1267	25077	73809
1268	25095	73782
1269	25111	73754
1270	25130	73730
1271	25146	73698
1272	25166	73680
1273	25183	73652
1274	25205	73640
1275	25225	73619
1276	25242	73592
1277	25259	73565
1278	25282	73555
1279	25302	73536
1280	25321	73512
1281	25342	73495
1282	25364	73485
1283	25383	73462
1284	25404	73444
1285	25423	73422
1286	25442	73401
1287	25461	73379
1288	25480	73357
1289	25498	73333
1290	25519	73316
1291	25538	73293
1292	25556	73268
1293	25574	73243
1294	25592	73219
1295	25610	73194
1296	25629	73174
1297	25650	73158
1298	25670	73138
1299	25688	73112
1300	25710	73100
1301	25730	73080
1302	25750	73061
1303	25768	73036
1304	25786	73013
1305	25804	72986
1306	25823	72966
1307	25838	72932
1308	25858	72913
1309	25876	72888
1310	25895	72866
1311	25910	72832
1312	25929	72810
1313	25944	72779
1314	25961	72751
1315	25977	72720
1316	25995	72697
1317	26014	72673
1318	26031	72648
1319	26047	72617
1320	26065	72591
1321	26082	72565
1322	26100	72540
1323	26120	72521
1324	26140	72503
1325	26158	72477
1326	26176	72454
1327	26196	72435
1328	26214	72409
1329	26232	72386
1330	26250	72361
1331	26270	72342
1332	26288	72318
1333	26306	72292
1334	26326	72273
1335	26345	72254
1336	26362	72225
1337	26376	72191
1338	26394	72165
1339	26410	72135
1340	26426	72105
1341	26445	72084
1342	26464	72061
1343	26480	72032
1344	26501	72016
1345	26519	71992
1346	26541	71978
1347	26558	71951
1348	26577	71930
1349	26597	71910
1350	26615	71886
1351	26636	71869
1352	26651	71838
1353	26667	71809
1354	26689	71795
1355	26710	71778
1356	26729	71758
1357	26746	71730
1358	26763	71703
1359	26783	71685
1360	26803	71667
1361	26821	71643
1362	26838	71616
1363	26859	71597
1364	26875	71568
1365	26892	71543
1366	26909	71516
1367	26930	71499
1368	26946	71470
1369	26963	71442
1370	26984	71426
1371	27004	71409
1372	27021	71382
1373	27041	71362
1374	27061	71344
1375	27079	71319
1376	27096	71293
1377	27116	71275
1378	27133	71248
1379	27154	71231
1380	27171	71204
1381	27189	71180
1382	27208	71159
1383	27227	71138
1384	27247	71117
1385	27268	71101
1386	27285	71077
1387	27301	71047
1388	27318	71020
1389	27336	70994
1390	27354	70971
1391	27376	70957
1392	27396	70939
1393	27418	70926
1394	27435	70900
1395	27453	70875
1396	27475	70861
1397	27496	70847
1398	27518	70830
1399	27538	70814
1400	27556	70789
1401	27575	70768
1402	27597	70755
1403	27617	70734
1404	27638	70720
1405	27660	70704
1406	27682	70691
1407	27701	70670
1408	27723	70657
1409	27741	70633
1410	27763	70619
1411	27785	70604
1412	27805	70586
1413	27824	70564
1414	27840	70536
1415	27860	70515
1416	27877	70490
1417	27894	70464
1418	27912	70440
1419	27932	70421
1420	27948	70393
1421	27966	70368
1422	27983	70343
1423	28001	70317
1424	28021	70299
1425	28039	70274
1426	28054	70243
1427	28075	70227
1428	28092	70202
1429	28110	70178
1430	28131	70161
1431	28152	70145
1432	28169	70118
1433	28189	70100
1434	28208	70078
1435	28224	70051
1436	28243	70029
1437	28265	70014
1438	28284	69993
1439	28306	69979
1440	28323	69954
1441	28343	69935
1442	28363	69914
1443	28385	69901
1444	28403	69879
1445	28424	69861
1446	28445	69845
1447	28466	69830
1448	28487	69813
1449	28504	69785
1450	28523	69765
1451	28544	69748
1452	28565	69733
1453	28585	69713
1454	28604	69693
1455	28625	69676
1456	28642	69650
1457	28662	69631
1458	28681	69610
1459	28701	69590
1460	28720	69570
1461	28740	69551
1462	28760	69531
1463	28778	69509
1464	28796	69485
1465	28812	69457
1466	28831	69436
1467	28853	69420
1468	28874	69404
1469	28891	69378
1470	28909	69354
1471	28929	69335
1472	28950	69319
1473	28967	69293
1474	28986	69273
1475	29004	69248
1476	29023	69227
1477	29043	69208
1478	29060	69183
1479	29077	69157
1480	29098	69139
1481	29115	69115
1482	29134	69094
1483	29151	69067
1484	29169	69043
1485	29189	69025
1486	29209	69006
1487	29228	68984
1488	29248	68965
1489	29267	68945
1490	29287	68927
1491	29307	68907
1492	29324	68882
1493	29342	68857
1494	29358	68829
1495	29374	68801
1496	29394	68784
1497	29414	68764
1498	29431	68739
1499	29451	68721
1500	29470	68698
1501	29488	68675
1502	29511	68663
1503	29532	68648
1504	29552	68627
1505	29573	68612
1506	29593	68593
1507	29615	68578
1508	29637	68564
1509	29655	68542
1510	29677	68526
1511	29697	68509
1512	29717	68489
1513	29734	68463
1514	29751	68437
1515	29771	68418
1516	29788	68393
1517	29807	68371
1518	29824	68347
1519	29842	68323
1520	29858	68295
1521	29879	68278
1522	29897	68255
1523	29916	68235
1524	29935	68214
1525	29956	68197
1526	29976	68177
1527	29996	68160
1528	30018	68144
1529	30039	68128
1530	30057	68106
1531	30077	68087
1532	30094	68061
1533	30115	68043
1534	30135	68024
1535	30151	67998
1536	30168	67971
1537	30189	67956
1538	30207	67931
1539	30228	67914
1540	30245	67889
1541	30266	67874
1542	30282	67847
1543	30299	67821
1544	30319	67802
1545	30338	67781
1546	30356	67756
1547	30373	67733
1548	30391	67709
1549	30414	67695
1550	30433	67674
1551	30451	67652
1552	30467	67625
1553	30489	67610
1554	30510	67593
1555	30529	67572
1556	30549	67553
1557	30570	67536
1558	30591	67521
1559	30613	67505
1560	30631	67483
1561	30647	67456
1562	30668	67439
1563	30687	67418
1564	30707	67399
1565	30728	67382
1566	30747	67362
1567	30765	67338
1568	30783	67314
1569	30804	67298
1570	30824	67280
1571	30840	67252
1572	30858	67229
1573	30875	67203
1574	30895	67185
1575	30913	67161
1576	30934	67145
1577	30950	67119
1578	30969	67096
1579	30985	67070
1580	31003	67045
1581	31022	67025
1582	31042	67007
1583	31059	66982
1584	31079	66963
1585	31096	66938
1586	31113	66912
1587	31129	66884
1588	31145	66858
1589	31161	66831
1590	31178	66805
1591	31195	66780
1592	31215	66760
1593	31232	66736
1594	31251	66715
1595	31267	66689
1596	31288	66671
1597	31304	66644
1598	31321	66620
1599	31338	66594
1600	31359	66577
1601	31379	66559
1602	31399	66541
1603	31421	66525
1604	31438	66500
1605	31459	66483
1606	31477	66461
1607	31494	66436
1608	31512	66413
1609	31532	66395
1610	31554	66380
1611	31574	66361
1612	31593	66340
1613	31615	66325
1614	31633	66303
1615	31655	66288
1616	31668	66255
1617	31686	66232
1618	31704	66210
1619	31722	66186
1620	31739	66161
1621	31756	66137
1622	31777	66119
1623	31795	66097
1624	31816	66080
1625	31834	66057
1626	31852	66034
1627	31872	66017
1628	31887	65987
1629	31904	65962
1630	31921	65938
1631	31939	65914
1632	31956	65889
1633	31973	65864
1634	31990	65840
1635	32008	65816
1636	32028	65799
1637	32047	65776
1638	32063	65750
1639	32083	65732
1640	32097	65701
1641	32115	65678
1642	32133	65654
1643	32149	65629
1644	32170	65612
1645	32187	65587
1646	32207	65569
1647	32227	65549
1648	32246	65528
1649	32263	65505
1650	32284	65488
1651	32300	65462
1652	32317	65437
1653	32339	65421
1654	32360	65405
1655	32380	65387
1656	32396	65359
1657	32414	65336
1658	32435	65320
1659	32453	65297
1660	32470	65273
1661	32487	65248
1662	32505	65225
